id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35494766,Quarto arejado e tranquilo,183592438,Maria Verginia,,Barra da Tijuca,-23.00282,-43.37744,Private room,160.0,1,146,2025-09-21,1.91,2,61,40,
850642605413068853,"Copa impecável, novissimo com garagem",378545175,Jorge Luiz,,Copacabana,-22.9636731,-43.1816273,Entire home/apt,406.0,2,89,2025-09-11,2.92,26,169,32,
692590290567490298,"Quarto 1
LUGAR TRANQUILO ENVOLVIDO POR NATUREZA.",234275790,Forest Club,,Jacarepaguá,-22.92962,-43.39709,Private room,,2,1,2022-09-11,0.03,4,364,0,
922645593159290251,Aconchego do Flamengo a 5 min da Praia,75049437,Renata,,Catete,-22.92679,-43.17856,Entire home/apt,176.0,2,44,2025-09-11,2.08,1,148,23,
786962087242243569,Aconchegante na Lapa,468400647,Yedna Maria De Albuquerque,,Centro,-22.911836367139923,-43.182448797822914,Entire home/apt,118.0,2,78,2025-08-12,2.34,1,126,28,
14053069,Recreio próximo da praia e dos melhores bares,49452020,Alexandra,,Recreio dos Bandeirantes,-23.01967,-43.46458,Entire home/apt,362.0,3,9,2025-03-05,0.2,2,170,1,
1012455102584796874,Mansão do Bosque,78598801,Cláudia,,Barra da Tijuca,-23.0008,-43.37222,Entire home/apt,1500.0,30,1,2024-01-07,0.05,13,234,0,
13334126,Copacabana 30m da  praia,2020642,Frederico,,Copacabana,-22.98149,-43.19113,Entire home/apt,279.0,2,12,2024-09-15,0.12,1,147,0,
1171252009682624686,Maravilha perto do mar,342344399,Nelia,,Copacabana,-22.96761,-43.18325,Private room,,1,0,,,2,0,0,
628038794686815910,Exclusivo e único - 3min praia - Ipanema/Leblon,214026083,Danillo,,Ipanema,-22.98525,-43.21509,Entire home/apt,1632.0,3,47,2025-05-05,1.21,6,303,13,
1285728975168666309,Copa Posto 5 e colado ao metrô,34233445,Alexandre,,Copacabana,-22.9768432,-43.1925157,Entire home/apt,461.0,2,1,2025-04-21,0.19,3,75,1,
1363440491382929603,Sunset_Hotel Nacional Rio,491350351,Fernanda,,São Conrado,-22.9980396,-43.2568208,Private room,827.0,2,5,2025-09-12,0.82,14,24,5,
54280313,Vieira Souto Ipanema 405,43898034,Giovani,,Ipanema,-22.98653,-43.2078,Entire home/apt,2112.0,4,0,,,26,365,0,
31618691,Copacabana - Praia/Metro - Melhor localização,86462610,Paula,,Copacabana,-22.9711,-43.18629,Entire home/apt,168.0,14,25,2025-05-06,0.31,1,30,2,
23475892,HOUSE OF LIGHT,4255118,Ricardo,,São Conrado,-23.00067,-43.27633,Entire home/apt,16929.0,3,0,,,47,269,0,
605673759315666322,Varandas do Engenhão A,30038731,Adriana,,Engenho de Dentro,-22.89071,-43.29396,Private room,700.0,1,13,2025-05-09,0.43,2,364,4,
1365952724025956214,Conforto Carioca Lapa | Recém reformado | Metrô,536202800,Eliane,,Centro,-22.9131009,-43.1812713,Entire home/apt,143.0,3,8,2025-08-25,1.17,2,103,8,
1346404917027343225,Stylish comfort in Ipanema,30122747,Roberta,,Ipanema,-22.9832764,-43.1988895,Entire home/apt,486.0,3,9,2025-09-22,1.53,1,116,9,
859286068087226990,3 Quartos Ipanema R4U60,27994357,Henrique,,Ipanema,-22.982662568026026,-43.20070009678602,Entire home/apt,650.0,4,24,2025-08-24,0.94,34,187,14,
15296499,"Temporada, Rio de janeiro, até 5",36289458,Maria,,Glória,-22.92011,-43.17764,Entire home/apt,342.0,3,14,2023-11-08,0.38,8,89,0,
1273008093436717454,Quarto Aconchego 2,107129609,Maria Das Graças,,Copacabana,-22.96858943827833,-43.18374593794043,Private room,184.0,2,26,2025-08-26,2.48,6,216,26,
1039232207227639559,Conforto em Copacabana,549473869,Adriana,,Copacabana,-22.97147,-43.18877,Entire home/apt,270.0,2,20,2025-09-22,0.94,1,146,8,
1340430845688991456,"CopaBlue, cozy apartment 150m from the beach",17216089,Marcela,,Copacabana,-22.982939446869494,-43.1915919855237,Entire home/apt,311.0,3,24,2025-09-15,4.04,1,236,24,
1137880247215862186,Apê Mar Azul! No coração de Copa,144500918,Yane,,Copacabana,-22.96537,-43.18018,Entire home/apt,285.0,1,26,2025-09-14,1.53,1,128,20,
1247767691017997780,"Apartamento no Flamengo, ao lado do metrô.",268955165,Rosalia,,Flamengo,-22.933974580388483,-43.176192082464695,Entire home/apt,,2,0,,,2,0,0,
1242020152105626830,Studio Vista Nobre III,86806306,Rogério,,Botafogo,-22.94477197869456,-43.182659558951855,Entire home/apt,239.0,3,33,2025-09-22,2.67,4,38,32,
1161713955668242195,Apartamento Familiar Completo no Leblon,578792821,Maria Beatris,,Leblon,-22.9796841,-43.2191367,Entire home/apt,2500.0,3,0,,,2,263,0,
1321912147494732923,Vista mar Copacabana 4 quartos,165003645,Cristiane Dupret Filipe,,Copacabana,-22.9789,-43.19003,Entire home/apt,1286.0,3,22,2025-07-28,2.45,3,63,22,
790476655477692049,Apto Grande Copacabana na Quadra da Praia,13572730,Johann,,Copacabana,-22.977832,-43.19233,Entire home/apt,316.0,3,111,2025-09-18,3.34,1,72,50,
251868,Great & comfy studio Copa!,1321287,Helena,,Copacabana,-22.9792,-43.1901,Entire home/apt,233.0,4,92,2025-05-09,0.55,2,120,6,
1050756134559156363,Studio para alugar pro ano novo!,58981789,Aninha,,Flamengo,-22.928603903781685,-43.17496027095727,Entire home/apt,360.0,1,0,,,2,261,0,
1350512478700581387,Cobertura frente mar 02,596785375,Silvia Rejane,,Recreio dos Bandeirantes,-23.03096,-43.47591,Entire home/apt,555.0,1,31,2025-09-11,4.06,5,48,31,
1389370925394180292,Light03. Aconchegante Studio na Quadra de Praia,687157131,Guilherme,,Copacabana,-22.98373886040788,-43.19104512337165,Entire home/apt,234.0,2,8,2025-08-17,1.5,3,104,8,
1165345724865947223,Casa na barra da Tijuca-quarto 3,539734562,Alessandra,,Barra da Tijuca,-23.004028745256008,-43.32155764858532,Private room,180.0,1,23,2025-09-08,1.7,4,83,19,
2554092,Copa do Mundo - World Cup 2014,13077700,Romulo,,Maracanã,-22.91303,-43.23511,Entire home/apt,1200.0,15,0,,,1,365,0,
